speaker_id,name
65,เดีย
66,เทาฟิก
67,เทดี้
68,ครูซามีระ
163,อาลี
214,เดวี
215,แม่ค้าซารี
216,ครูริซกี
217,แอนดิ
218,แม่ค้าอินทาน
220,อายู
221,"ครูรินา "
222,แม่ค้าลินา
223,นีนา
224,มาญา
225,อันนิสา
472,ไอลี
473,อาลินา
474,อัลเวีย เมลินา
475,อันโด
476,อายุ
477,ครูเบทซี
478,คริสตา
479,คัท เจ
480,ดาเนีย
481,เดลลา
482,ดวี
483,ดวี รูมิ
484,เอกา
485,แม่ค้าเอไน
486,พ่อค้าฟรานเชสโก
487,จีน่า
488,แม่ค้าอิรลี
489,อีร์วาน
490,ลีลิส
491,เมลี
492,โมนา
493,มูฮัมมัด อิกบาล
494,ครูนาห์รี
495,นาวรา
496,เนนี่ ริซกา
497,นิเซอรา ฟรี่
498,โอวี่
499,พอลา
500,พรัปติวี
501,ริฮาด
502,แม่ค้ารีนา
503,รีนี รินจานี
504,รูบี้
505,ริยาน
506,อาจารย์ซายิด
507,ชาบรีน่า
508,อาจารย์เชวา ดาเวิด เฮช
509,ซิติ คิว
510,ติติน
511,อูมิ
512,วีดา
513,สายปาน
514,ซีซี
